iso_639_1,name
af,Afrikaans
am,Amharic
ar,العربية
az,Azərbaycan
be,беларуская мова
bg,български език
bm,Bamanankan
bn,বাংলা
bo,Tibetan
br,Breton
bs,Bosanski
ca,Català
ce,Chechen
cn,广州话 / 廣州話
cr,Cree
cs,Český
cy,Cymraeg
da,Dansk
de,Deutsch
dz,Dzongkha
el,ελληνικά
en,English
eo,Esperanto
es,Español
et,Eesti
eu,euskera
fa,فارسی
fi,suomi
fr,Français
ga,Gaeilge
gd,Scottish Gaelic
gl,Galego
gn,Guarani
gu,Gujarati
he,עִבְרִית
hi,हिन्दी
hr,Hrvatski
hu,Magyar
hy,Armenian
id,Bahasa indonesia
is,Íslenska
it,Italiano
iu,Inuktitut
ja,日本語
ka,ქართული
kk,қазақ
km,Central Khmer
kn,Kannada
ko,한국어/조선말
ku,Kurdish
kw,Cornish
la,Latin
lo,Lao
mi,Maori
mk,Macedonian
ml,Malayalam
mn,Mongolian
mr,Marathi
ms,Bahasa melayu
mt,Malti
ne,Nepali (macrolanguage)
nl,Nederlands
no,Norsk
nv,Navajo
ny,Nyanja
oc,Occitan (post 1500)
pa,ਪੰਜਾਬੀ
pl,Polski
ps,پښتو
pt,Português
qu,Quechua
ro,Română
ru,Pусский
sa,Sanskrit
sh,Serbo-Croatian
si,Sinhala
sk,Slovenčina
so,Somali
sq,shqip
sr,Srpski
st,Southern Sotho
sv,svenska
sw,Kiswahili
ta,தமிழ்
te,తెలుగు
tg,Tajik
th,ภาษาไทย
tl,Tagalog
to,Tonga (Tonga Islands)
tr,Türkçe
ty,Tahitian
uk,Український
ur,اردو
vi,Tiếng Việt
wo,Wolof
xh,Xhosa
xx,No Language
yi,Yiddish
zh,普通话
zu,isiZulu
