movie_id,genre_id
862,3
862,4
862,8
8844,2
8844,9
8844,8
31357,4
31357,7
31357,15
11862,4
949,1
949,5
949,7
949,18
9091,1
9091,2
9091,18
710,2
710,1
710,18
9087,4
9087,7
9087,15
10858,11
10858,7
1408,1
1408,2
524,7
524,5
4584,7
4584,15
5,5
5,4
9273,5
9273,4
9273,2
11517,1
11517,4
11517,5
8012,4
8012,18
8012,5
9691,1
9691,2
9691,5
9691,18
12665,7
12665,9
12665,16
12665,18
451,7
451,15
16420,7
902,9
902,16
902,2
9909,7
9909,5
9598,9
9598,7
9598,4
9598,8
687,7
139405,2
139405,11
139405,7
139405,8
34615,7
11443,1
11443,5
11443,7
11443,11
9312,1
9312,9
577,9
577,7
577,4
577,18
11861,7
11861,15
807,5
807,14
807,18
10530,2
10530,3
10530,7
10530,8
8391,7
8391,15
629,7
629,5
629,18
11448,4
11448,15
97406,7
9089,4
9089,7
9089,15
11359,2
11359,8
11359,9
2054,13
2054,7
2054,8
10607,4
9536,4
11525,1
11525,16
10634,4
755,12
755,1
755,18
755,5
11859,1
11859,18
11859,15
28387,4
28387,7
28387,15
48750,7
48750,11
36929,4
36929,8
9102,12
9102,16
46785,8
46785,7
400,7
400,5
880,7
880,4
10534,1
10534,7
17414,2
17414,4
17414,8
2086,5
2086,7
2086,18
61548,7
9095,7
9095,12
9095,18
9095,15
12158,4
12158,12
12158,15
9283,4
9283,7
9283,15
9208,1
9208,2
9208,7
9208,18
63076,6
11062,7
11062,18
13685,4
13685,5
13685,7
2045,7
2045,14
2045,16
2045,18
9614,4
688,7
688,15
10874,1
10874,4
10874,13
10874,8
10874,2
96357,5
197,1
197,7
197,11
197,19
103,5
103,7
33542,5
33542,1
33542,4
33542,18
71754,7
16934,4
16934,5
16934,7
10324,4
10324,15
78406,4
78406,7
11066,4
11066,15
11104,7
11104,4
11104,15
2074,4
2074,15
44284,7
11863,1
11863,18
11863,14
11863,15
55475,4
55475,7
55475,15
11000,4
16388,4
16388,7
16388,15
9737,1
9737,4
9737,5
9737,18
10474,7
10474,5
22279,15
22279,7
22279,4
30157,5
30157,4
30157,7
30157,18
568,7
11780,2
34996,7
34996,12
414,1
414,5
414,9
649,7
649,15
1873,7
1873,18
5894,4
1775,1
1775,4
8839,9
8839,4
8839,8
20649,14
20649,5
20649,7
10329,1
10329,2
